id,name,1990,1995,2000,2005,2010,2015
AFG,Afghanistan,0.0,0.0,0.0,250.29412990949032,553.3002893830633,584.0259020557797
AGO,Angola,823.7921843366287,353.18204509916956,555.2969418633338,1443.9919285637386,3529.053481737571,3695.7937481465533
ALB,Albania,639.463899289892,760.5593757740925,1175.7889807947065,2709.14293061386,4094.358831919166,3954.022783260093
ARE,United Arab Emirates,27256.290942835185,26847.080053194968,33071.26868694216,39439.801967928375,35049.148316783714,39101.74689010544
ARG,Argentina,4318.774699507717,7373.428245682346,7669.273915540658,5076.883829172904,10276.260497705347,13467.102357002188
ARM,Armenia,637.8557411616304,456.37589974066486,622.742747687983,1643.7583970639653,3218.381654884655,3609.654775826634
AUS,Australia,18249.2884923718,20384.669289051737,21690.92099854185,34016.71483048218,51874.080481995756,56554.03876124464
AUT,Austria,21628.76023101298,30252.794692404063,24517.267446014677,38242.04251746992,46657.062900495665,43665.00947079653
AZE,Azerbaijan,1237.3244916770022,397.1981161172465,655.0974326025856,1578.4023902960253,5842.805783585757,5500.310382444075
BDI,Burundi,209.0516151611963,167.79917167616955,135.99844546572473,150.50704336876552,231.19432564921587,303.68102225446523
BEL,Belgium,20710.6639265195,28565.946149514275,23207.405911007732,36967.28292042967,44380.23741075854,40356.875002697045
BEN,Benin,393.6862144235307,367.3873410325984,374.1923941592344,601.7999769588743,757.6959074093771,783.9470909524221
BFA,Burkina Faso,351.9793228525358,235.83219729976915,226.47598136697962,406.99880706062316,575.4464526877339,615.592225011518
BGD,Bangladesh,297.5679944525451,319.6086943559299,405.6033071417671,484.1554070579915,757.6717571768909,1210.158120466689
BGR,Bulgaria,2366.5298212861376,1554.0469305143058,1609.2805861651993,3893.6899804990667,6843.263288853154,6993.477359757277
BHS,"Bahamas, The",12350.976842893702,12239.871497412101,21241.236698110042,23405.45301580263,21921.559063497694,22888.13405094639
BIH,Bosnia and Herzegovina,0.0,485.6172766681427,1461.7505204702863,2968.4118061197187,4611.470298117077,4574.090787351331
BLR,Belarus,2124.840514280106,1370.672042729223,1276.2880340999998,3126.0717666524797,6030.388706665914,5949.110677498225
BLZ,Belize,2202.3225558778367,2996.3829283495115,3364.423710652407,3933.332215464016,4344.150176612522,4849.997495045757
BOL,Bolivia,709.9488612434271,887.4685242565847,1007.0028688845091,1046.4273841431666,1981.1607045043668,3077.026199171576
BRA,Brazil,3093.037478638154,4840.787782232047,3739.1190359678976,4770.1827462882065,11224.154082935484,8757.20620228722
BRN,Brunei Darussalam,13604.156825696737,15929.163761766433,18008.44825896123,26102.133454211904,35268.10117035805,30967.890506377084
BTN,Bhutan,557.9721483069833,588.5939027050092,765.8632357656954,1247.0613916089617,2178.9213830796643,2613.6451768164916
BWA,Botswana,2750.9500257402356,3014.8678581541835,3349.068822776508,5351.253731716462,6346.156203873508,6532.060501367646
CAF,Central African Republic,490.074561930039,332.67737716077204,243.54293174382914,327.11494607892615,446.44344937520634,348.3814170337146
CAN,Canada,21371.291098142134,20577.48938588952,24124.169174630984,36189.58838402636,47447.47602419348,43315.70044181267
CHE,Switzerland,38332.15172056322,48540.57749459519,37813.23425679493,54797.54663457403,74276.71841594248,80989.84023583056
CHL,Chile,2500.646256809183,5137.375077530839,5101.368478575171,7615.304679914133,12860.177644746942,13653.22639987325
CHN,China,317.8851980991697,609.6567653069515,959.3721081053899,1753.4178000746786,4560.512487100908,8069.211937731144
CIV,Cote d'Ivoire,880.0184701253954,756.5011353896823,642.2547139992416,931.7542869713432,1219.7490955152093,1420.6268843887688
CMR,Cameroon,951.8882235683194,648.7805569445726,608.0414399345781,952.187248439454,1182.8692270126553,1244.4294205696401
COD,"Congo, Dem. Rep.",270.11058086625343,135.67347808990627,405.4696530937495,218.52350917279747,318.0757515965521,474.93604810640477
COG,"Congo, Rep.",1146.8122776112673,755.9167950684307,998.1968920598581,1637.0643812457226,2737.342364842377,1712.1211314001566
COL,Colombia,1175.1492701086045,2470.683622903745,2472.197830982972,3386.025600018103,6250.65504429613,6044.525555665561
CRI,Costa Rica,2391.3014456433943,3279.326506417595,3808.363689183234,4697.011134561158,8199.414620680267,11406.362727110776
CUB,Cuba,2706.9757422144944,2790.178220571769,2741.1105419409087,3779.0570695995566,5676.1414026990615,7602.261218318968
CYP,Cyprus,7293.2795613824555,11488.148929555146,10795.57803771306,18199.776944108835,22975.095119506797,16847.71321864822
CZE,Czech Republic,3901.525437161474,5765.048439357968,5994.528276865427,13317.729834201335,19764.0155413397,17556.924304246357
DEU,Germany,22219.572527148626,31729.69976334511,23718.746699471078,34696.62091670996,41785.55691255407,41176.8815764652
DJI,Djibouti,766.1409545474002,789.551769053207,768.1760767471195,904.7297488765662,1325.990723520759,1862.1672737310414
DNK,Denmark,26891.441639937177,35351.380706534575,30743.559173584577,48799.820370324785,58041.41122456006,53014.644161619384
DOM,Dominican Republic,984.6913024991595,2072.6836516531107,2802.420041787399,3681.059903002999,5451.0669599446455,6468.471648392253
DZA,Algeria,2394.420380151971,1444.908036094888,1757.0177971599421,3100.1223775867884,4463.3946748895005,4132.760292088606
ECU,Ecuador,1491.4016816203928,2135.6328119136147,1451.2907755098984,3021.9425473160886,4657.302361147101,6205.062223556846
EGY,"Egypt, Arab Rep.",751.2411237471695,944.2019116444785,1428.183004295373,1168.115230679131,2602.4795486956677,3547.7130118382665
ERI,Eritrea,0.0,187.05044788957463,208.19694865228348,276.7508096461306,482.1490904234998,0.0
ESP,Spain,13767.381472171148,15429.939421619849,14676.706088023146,26510.717453342604,30736.002278173662,25683.845653024087
