"Region, development group, country or area of origin",1990,1995,2000,2005,2010,2015,2020
   Armenia,899678,901859,877148,900648,917043,944520,958190
   Azerbaijan*,1634157,1712214,1630589,1455180,1160863,1130348,1163922
   Bahrain,12817,26014,47736,51835,52235,56721,58270
   Cyprus*,174370,163275,153561,153973,163471,166585,173210
   Georgia*,919438,953280,967022,885523,805539,828931,861077
   Iraq,642933,752604,828414,1340599,2554929,1675613,2077976
   Israel,279625,290365,303860,317009,333968,331326,358691
   Jordan,313621,339026,368299,440788,602099,706832,814909
   Kuwait,81583,97009,113415,129005,177816,195034,212271
   Lebanon,507722,531538,558891,608856,699704,757183,856814
   Oman,12504,13844,15623,18824,20752,22797,25099
   Qatar,12175,13302,14680,17131,20674,23574,25705
   Saudi Arabia,107045,130911,153614,178744,215338,282906,299268
   State of Palestine*,1812673,2274589,2767331,3258102,3539908,3773988,4022791
   Syrian Arab Republic,620285,661278,707070,813361,1057322,6447843,8457214
   Turkey,2512944,2771731,2847334,2577305,2708930,3073534,3411408
   United Arab Emirates,79499,97928,111082,125618,155609,178324,203214
   Yemen,455492,486249,529396,628869,876383,1095240,1301166
   Belarus,1767600,1736493,1685646,1581160,1464702,1469882,1483626
   Bulgaria,612960,649430,688682,907821,1106483,1179625,1683074
   Czechia,564746,620286,723333,752058,779438,819776,1026108
   Hungary,391583,404141,420959,466530,511199,600887,714420
   Poland,1673426,1775774,2047626,2884657,3716338,4077038,4825096
   Republic of Moldova*,625680,620030,602773,715496,827409,929759,1159443
   Romania,811853,976732,1138825,2105906,3363361,3420714,3987093
   Russian Federation,12653331,11587959,10664764,10302948,10118680,10179999,10756697
   Slovakia,132977,191610,251533,271828,260656,347385,419651
   Ukraine*,5545517,5606133,5596518,5566382,5429876,5797550,6139144
   Channel Islands*,18726,15626,12825,14815,15699,16469,17158
   Denmark*,201514,207707,217761,224462,233531,236832,257025
   Estonia,113860,129586,141821,150101,153633,189109,206631
   Faroe Islands*,7518,10003,12410,12484,12364,13407,12927
   Finland*,250610,288655,315861,300562,291883,282223,311889
   Iceland,17597,21433,26173,28669,32454,37006,43251
   Ireland,917101,863541,820657,769942,729466,736639,734317
   Isle of Man*,10735,9003,7377,8484,9033,10580,12032
   Latvia,215070,228958,238641,270982,278168,369238,380010
   Lithuania,340973,342389,348564,412371,517746,556292,658057
   Norway*,138289,151041,163834,174063,179971,185578,191392
   Sweden,205942,225655,256610,267953,291904,302408,327581
   United Kingdom*,3789316,3708650,3860006,4145206,4432928,4379366,4732510
   Albania,180204,501066,824442,966032,1117940,1142844,1250451
   Andorra,3740,4142,5575,5727,7909,8740,11132
   Bosnia and Herzegovina,861760,1372526,1496691,1501036,1572925,1593430,1687639
   Croatia,425544,735213,907031,839084,820407,806242,1039526
   Gibraltar*,11989,10130,8451,9643,10197,11916,13389
   Greece,1022125,1004201,982685,867619,789457,820119,1088507
   Holy See*,10,26,41,110,175,310,174
   Italy,3350982,3207728,3067498,2698486,2559233,2662661,3258831
   Malta,110738,109839,104869,100245,99294,93554,102793
   Montenegro,77384,144640,183451,148013,148754,134028,132965
   North Macedonia,432070,491992,532132,458822,526151,563354,693896
   Portugal,1871869,1920865,1993793,1743009,1927397,1971655,2081419
   San Marino,1413,2456,3494,2907,2266,3688,2407
   Serbia*,742547,914112,1131919,960621,936001,826891,1003962
   Slovenia,91447,108611,118659,119399,122948,136538,160197
   Spain*,1439004,1362409,1290614,1114465,1087071,1269283,1489823
   Austria,505214,490045,478091,493349,517401,515234,600740
   Belgium,363970,374734,398864,437701,484032,515793,577463
   France*,1215837,1353297,1555391,1725216,1956818,2119266,2341908
   Germany,2929448,3045354,3235247,3442933,3696638,3630278,3855268
   Liechtenstein,3425,3018,2688,2935,3590,3536,3706
   Luxembourg,36108,37875,39762,52806,62048,69366,81757
   Monaco,4475,4784,5124,19103,26954,29317,32552
   Netherlands*,716471,726856,747631,790554,854388,867093,970403
   Switzerland,325580,339249,370442,502289,624385,644855,713623
   Anguilla*,1832,2166,2508,2425,2273,2553,2505
   Antigua and Barbuda,21382,26965,32782,36398,41347,52189,66561
   Aruba*,5887,6705,7662,9482,13524,16621,21456
   Bahamas,25137,29594,34301,34715,35990,42965,53793
   Barbados,84766,89612,94998,92975,96193,101879,99611
"   Bonaire, Sint Eustatius and Saba*",445,540,647,753,7065,7295,8148
   British Virgin Islands*,3094,3368,3683,4008,4921,5118,5355
   Cayman Islands*,356,794,1278,1290,1404,1709,1908
   Cuba,835175,934168,1047789,1160309,1314739,1505827,1757300
   Curaçao*,2104,2849,3779,4618,45248,6239,7611
   Dominica,40563,44210,48275,64037,73583,72585,78191
