id,1990,1995,2000,2005,2010,2015
LAO,503248.0,556904.0,660080.0,904773.0,1203756.0,1362172.0
LBN,1026125.0,1131678.0,1244424.0,1367631.0,1527849.0,2788511.0
LBR,591318.0,737601.0,397163.0,439767.0,352465.0,384796.0
LBY,525263.0,577995.0,639591.0,718528.0,806824.0,901714.0
LKA,908944.0,946491.0,999937.0,1154818.0,1444497.0,1639201.0
LSO,196462.0,141853.0,124196.0,147891.0,229448.0,367695.0
LTU,677026.0,604140.0,554038.0,612217.0,653350.0,679754.0
LUX,139930.0,154152.0,170046.0,195385.0,219128.0,307953.0
LVA,861154.0,766997.0,668973.0,649754.0,624802.0,600701.0
MAR,1629534.0,1774752.0,1988034.0,2424475.0,2835949.0,2904584.0
MDA,1152928.0,975379.0,842934.0,887547.0,985795.0,1027001.0
MDG,52632.0,54298.0,58703.0,127034.0,135631.0,147464.0
MEX,5088392.0,7179994.0,9865192.0,11225752.0,12795087.0,13527796.0
MKD,522722.0,598037.0,654546.0,586965.0,607797.0,645104.0
MLI,790460.0,946413.0,860437.0,936002.0,1066132.0,1248206.0
MMR,705335.0,910884.0,1207158.0,1787373.0,2502953.0,2945657.0
MNE,78600.0,145832.0,181018.0,150017.0,209631.0,219921.0
MNG,30198.0,34146.0,37903.0,53105.0,73965.0,76282.0
MOZ,2273534.0,895293.0,744219.0,750914.0,811187.0,856340.0
MRT,244074.0,239104.0,160723.0,154817.0,169881.0,224791.0
MWI,1218187.0,328041.0,366732.0,398001.0,441479.0,470057.0
MYS,935229.0,1229035.0,1606901.0,2077058.0,2777983.0,2935522.0
NAM,132454.0,139477.0,179442.0,162706.0,192727.0,237057.0
NCL,28646.0,33098.0,37468.0,43440.0,49644.0,52528.0
NER,238012.0,301717.0,306039.0,372015.0,425653.0,514300.0
NGA,747582.0,878627.0,1034019.0,1361661.0,1804358.0,2163093.0
NIC,481855.0,456822.0,524700.0,462408.0,633148.0,676718.0
NLD,1832188.0,1989018.0,2203592.0,2421449.0,2607008.0,2824611.0
NOR,323200.0,372062.0,438611.0,522873.0,696274.0,905930.0
NPL,1152411.0,1500452.0,1643363.0,1759834.0,1921795.0,2112967.0
NZL,794296.0,872217.0,1024183.0,1246659.0,1453739.0,1678207.0
OMN,311780.0,534754.0,611572.0,655973.0,803491.0,1773083.0
PAK,9506797.0,6946938.0,7492737.0,6932823.0,8765672.0,9348857.0
PAN,196694.0,199986.0,216844.0,245214.0,290883.0,326094.0
PER,377061.0,556171.0,755379.0,1052384.0,1394019.0,1497314.0
PHL,2026553.0,2468869.0,3080480.0,3638737.0,4574066.0,5225064.0
PNG,33927.0,35767.0,28114.0,32788.0,28462.0,29134.0
POL,2606756.0,2705075.0,2844855.0,3705927.0,4770325.0,5061453.0
PRI,1505043.0,1680338.0,1897622.0,1922821.0,1926007.0,2016660.0
PRK,69927.0,86370.0,104153.0,125445.0,147730.0,158944.0
PRT,2440370.0,2561094.0,2742788.0,2605243.0,2754781.0,3030997.0
PRY,487359.0,516856.0,546847.0,708914.0,920672.0,998037.0
PSE,2068959.0,2524237.0,2910251.0,3052378.0,3350438.0,3770605.0
QAT,316799.0,366427.0,363633.0,640995.0,1425435.0,1675681.0
ROU,939714.0,1096011.0,1247755.0,2272180.0,3498994.0,3610934.0
RUS,24217434.0,23586886.0,22700404.0,22196981.0,21621991.0,22216000.0
RWA,690369.0,2276275.0,659446.0,697051.0,745826.0,748074.0
SAU,4937644.0,5081154.0,5239939.0,6463631.0,8374026.0,10112237.0
SDN,1952436.0,1760264.0,1621138.0,1673017.0,1537913.0,1516833.0
SEN,602637.0,605154.0,584133.0,671656.0,769351.0,804807.0
SLB,5136.0,5438.0,5489.0,5264.0,5174.0,5533.0
SLE,282120.0,560967.0,605207.0,294450.0,230616.0,235233.0
SLV,1288916.0,950984.0,959881.0,1126427.0,1318998.0,1478028.0
SOM,1306609.0,916488.0,1003655.0,1156708.0,1595702.0,1996593.0
SRB,807507.0,1550225.0,1987970.0,1801150.0,1700629.0,1770466.0
SUR,172186.0,187841.0,210157.0,246986.0,253580.0,260167.0
SVK,174612.0,261016.0,367671.0,406252.0,447075.0,517864.0
SVN,269625.0,282953.0,289533.0,319544.0,383447.0,375818.0
SWE,925539.0,1078037.0,1171469.0,1302738.0,1589906.0,1852741.0
SWZ,103004.0,53362.0,53151.0,62770.0,87938.0,120126.0
SYR,867377.0,950394.0,998999.0,1412931.0,2361357.0,5504728.0
TCD,405887.0,350719.0,304376.0,544949.0,597683.0,706147.0
TGO,267382.0,397058.0,388004.0,512700.0,616657.0,702308.0
THA,820299.0,1199057.0,1760583.0,2764127.0,3955840.0,4724563.0
TJK,964451.0,873354.0,800174.0,828420.0,865594.0,864505.0
TKM,564366.0,513554.0,440250.0,440740.0,434011.0,436808.0
TLS,19123.0,88331.0,157621.0,104376.0,44360.0,46772.0
TTO,204165.0,250651.0,309040.0,324338.0,355044.0,379732.0
TUN,485633.0,499052.0,509322.0,603560.0,640376.0,695880.0
TUR,3507891.0,3743185.0,3984592.0,4039802.0,4203374.0,5962151.0
TZA,773037.0,1330991.0,1139083.0,998707.0,565716.0,546696.0
UGA,848065.0,1082223.0,1184161.0,1206884.0,1082862.0,1292462.0
UKR,12030850.0,11387782.0,10744869.0,10286678.0,9975902.0,10319426.0
URY,329046.0,319575.0,316265.0,372675.0,404017.0,415181.0
USA,21629474.0,27241393.0,33933181.0,37824950.0,42256099.0,45865073.0
UZB,3007382.0,2979611.0,2930712.0,3009167.0,3053339.0,3085025.0
VEN,1205940.0,1253405.0,1323708.0,1496691.0,1873526.0,2001887.0
VNM,1254775.0,1567545.0,1892138.0,2098051.0,2351319.0,2612924.0
VUT,6267.0,6855.0,7370.0,8793.0,9654.0,10358.0
YEM,539817.0,583677.0,634474.0,759585.0,1115922.0,1304010.0
ZAF,1375633.0,1347274.0,1471984.0,1788529.0,2618861.0,3545380.0
ZMB,353103.0,372799.0,475529.0,405764.0,340309.0,345212.0
ZWE,775621.0,645799.0,672377.0,729778.0,952596.0,1113310.0
