id,Country Name,1990,1995,2000,2005,2010,2015
AFG,Afghanistan,49.8578048780488,53.06241463414639,55.49892682926829,58.5155853658537,61.2354634146342,63.298195121951196
AGO,Angola,41.6694878048781,43.098121951219504,47.076756097560995,52.7877073170732,58.1411219512195,61.1893414634146
ALB,Albania,71.95878048780492,72.2762682926829,74.0140243902439,75.35702439024391,76.74790243902441,78.20314634146341
ARE,United Arab Emirates,71.8020243902439,73.19226829268291,74.5094634146341,75.7285365853659,76.6948780487805,77.484243902439
ARG,Argentina,71.54365853658541,72.6651219512195,73.7558048780488,74.6883170731707,75.4920243902439,76.2930243902439
ARM,Armenia,67.7487804878049,68.789512195122,71.1996585365854,72.39878048780491,73.10929268292679,74.2061951219512
AUS,Australia,76.9946341463415,77.82926829268291,79.2341463414634,80.84146341463409,81.6951219512195,82.4512195121951
AUT,Austria,75.56829268292691,76.6682926829268,78.12682926829271,79.3317073170732,80.58048780487809,81.8439024390244
AZE,Azerbaijan,64.64721951219511,65.17473170731711,66.6815853658537,68.6770975609756,70.9186097560976,71.84519512195119
BDI,Burundi,48.000121951219505,48.7971951219512,51.4879268292683,52.705365853658506,54.836999999999996,57.0693414634146
BEL,Belgium,76.0519512195122,76.84073170731709,77.7219512195122,78.9804878048781,80.1829268292683,81.2878048780488
BEN,Benin,53.713951219512204,55.110121951219504,55.310756097561,57.2856097560976,59.2592682926829,60.5846829268293
BFA,Burkina Faso,49.365609756097605,49.3403170731707,50.382853658536604,53.2184390243903,57.0146829268293,59.8446585365854
BGD,Bangladesh,58.408560975609795,61.87236585365851,65.3251219512195,67.9412926829268,70.24204878048779,72.22160975609759
BGR,Bulgaria,71.6414634146342,71.0534146341464,71.66341463414629,72.5609756097561,73.5121951219512,74.4658536585366
BHS,"Bahamas, The",70.6306585365854,71.2625609756098,72.2542926829268,73.63936585365859,74.5969024390244,75.36878048780491
BIH,Bosnia and Herzegovina,70.7802926829268,71.5631707317073,74.26221951219509,75.08753658536591,75.7937317073171,76.6402926829268
BLR,Belarus,70.83658536585371,68.4609756097561,68.9121951219512,68.8512195121951,70.4048780487805,73.6243902439025
BLZ,Belize,71.28373170731709,69.5887804878049,68.4188780487805,69.0853658536585,69.76202439024391,70.3109756097561
BOL,Bolivia,55.1072926829268,57.8632926829268,60.69004878048779,63.5397804878049,66.4058048780488,68.7498048780488
BRA,Brazil,65.3403170731707,67.6016829268293,70.01639024390239,71.986,73.76956097560979,75.1991219512195
BRN,Brunei Darussalam,73.0511951219512,74.22295121951221,75.29478048780491,76.3415853658537,76.7541951219512,77.066756097561
BTN,Bhutan,52.87207317073171,56.6475365853659,60.748439024390294,64.8696585365854,67.7742926829268,69.8071219512195
BWA,Botswana,61.761512195122,55.4549756097561,48.9825853658537,52.0703170731707,59.780926829268296,65.7510975609756
CAF,Central African Republic,48.7468780487805,46.2271707317073,43.9142926829268,44.442829268292705,47.5327073170732,51.37785365853661
CAN,Canada,77.3770731707317,77.9775609756098,79.2365853658537,80.2926829268293,81.1975609756098,82.1290243902439
CHE,Switzerland,77.24243902439021,78.41707317073171,79.6804878048781,81.2365853658537,82.24634146341471,83.1975609756098
CHL,Chile,73.54378048780491,75.22765853658541,76.6447073170732,77.6474390243903,78.30892682926829,79.1606829268293
CHN,China,69.32148780487799,70.2104634146341,71.9955853658537,74.0175609756098,75.2660975609756,76.1170975609756
CIV,Cote d'Ivoire,52.606926829268296,49.5606585365854,46.6974390243902,47.6964146341463,50.4507073170732,53.078243902439006
CMR,Cameroon,52.183853658536606,49.9932682926829,49.9997317073171,52.888999999999996,55.401146341463395,57.557512195122
COD,"Congo, Dem. Rep.",48.9929756097561,49.06592682926829,50.002878048780495,53.6372926829268,56.8701707317073,59.173219512195104
COG,"Congo, Rep.",55.9323170731707,53.2269024390244,51.3773414634146,54.665512195122005,60.4526097560976,64.0907317073171
COL,Colombia,68.2971951219512,69.4269268292683,70.9887073170732,72.2644390243903,73.28290243902441,74.1561951219512
CRI,Costa Rica,75.6586829268293,76.5586097560976,77.4226829268293,78.0866585365854,78.7326341463415,79.6089024390244
CUB,Cuba,74.6438048780488,75.40899999999999,76.6448048780488,77.93214634146341,78.93665853658541,79.5437073170732
CYP,Cyprus,76.51395121951221,77.2746585365854,77.9716829268293,78.5901219512195,79.3849512195122,80.2910487804878
CZE,Czech Republic,71.38390243902441,73.0748780487805,74.9682926829268,75.92439024390251,77.42439024390251,79.4731707317073
DEU,Germany,75.227756097561,76.42195121951221,77.9268292682927,78.9317073170732,79.9878048780488,81.090243902439
DJI,Djibouti,56.6631707317073,57.05341463414639,57.010341463414605,57.9842926829268,60.36673170731711,62.2498292682927
DNK,Denmark,74.8053658536585,75.2126829268293,76.5926829268293,77.8439024390244,79.1,81.1
DOM,Dominican Republic,67.9504146341463,69.720512195122,70.6337317073171,71.7003902439024,72.74487804878049,73.7036829268293
DZA,Algeria,66.6930243902439,68.0983658536585,70.2856829268293,72.7614146341463,74.66978048780491,75.8552926829268
ECU,Ecuador,68.9953658536586,71.2268292682927,72.9441707317073,74.1384634146342,75.0333902439024,76.081512195122
EGY,"Egypt, Arab Rep.",64.5495853658537,66.7606829268293,68.5883170731707,69.4243414634146,70.34141463414639,71.2956585365854
ERI,Eritrea,49.58192682926829,52.308,55.265048780487795,58.6977804878049,62.1758536585366,64.6243902439025
ESP,Spain,76.8375609756098,77.98073170731709,78.9658536585366,80.17073170731709,81.62682926829271,83.38048780487809
EST,Estonia,69.4756097560976,67.54390243902441,70.41707317073171,72.5682926829268,75.4292682926829,77.13170731707321
ETH,Ethiopia,47.0995609756098,49.304512195122,51.933829268292705,56.20892682926829,61.601853658536605,65.0082926829268
FIN,Finland,74.8131707317073,76.409512195122,77.4658536585366,78.8170731707317,79.87073170731709,81.3853658536585
FJI,Fiji,65.5708536585366,66.6389024390244,67.6058536585366,68.4917804878049,69.3908536585366,70.2242682926829
FRA,France,76.6,77.75121951219509,79.05609756097559,80.16341463414629,81.66341463414629,82.67073170731709
GAB,Gabon,61.145756097561,60.55785365853661,59.2518048780488,59.8425609756098,62.856536585365895,65.68441463414639
GBR,United Kingdom,75.88048780487809,76.83658536585371,77.7414634146342,79.0487804878049,80.4024390243902,81.60487804878049
GEO,Georgia,69.9996097560976,70.235756097561,71.69339024390241,72.5351951219512,72.49804878048779,72.9661219512195
GHA,Ghana,56.751634146341495,57.5027073170732,56.985097560975596,58.6520243902439,60.8937317073171,62.407243902439006
GIN,Guinea,49.918853658536605,51.696707317073205,51.1738048780488,53.15692682926829,56.743243902439005,59.398951219512206
GMB,"Gambia, The",52.245731707317105,53.91095121951221,55.9780243902439,57.9565853658537,59.645731707317104,60.957439024390204
GNB,Guinea-Bissau,49.0242926829268,50.912487804878104,52.22704878048779,53.3219024390244,55.00053658536589,56.9503902439024
GNQ,Equatorial Guinea,48.2216097560976,50.580853658536604,52.764146341463395,54.2795609756098,55.95895121951221,57.5083902439024
GRC,Greece,76.9390243902439,77.5853658536585,77.8878048780488,79.2390243902439,80.3878048780488,81.5878048780488
GTM,Guatemala,62.2637804878049,65.066512195122,67.77102439024391,69.6543414634146,71.3862195121951,73.0429756097561
GUY,Guyana,63.3675609756098,64.13346341463419,64.9311951219512,65.55324390243901,66.0264146341463,66.5393658536586
HND,Honduras,66.6890487804878,68.85839024390239,70.4941951219512,71.4821707317073,72.3950487804878,73.32460975609759
HRV,Croatia,72.17048780487809,72.0843902439024,72.8078048780488,75.2446341463415,76.4756097560976,77.2756097560976
HTI,Haiti,54.5693170731707,56.2756585365854,57.6760487804878,59.1794634146342,61.2531951219512,63.0107804878049
HUN,Hungary,69.3156097560976,69.7917073170732,71.2463414634146,72.64878048780491,74.2073170731707,75.9609756097561
IDN,Indonesia,63.2599024390244,65.0018780487805,66.2468780487805,67.1685609756098,68.1527317073171,69.0386341463415
IND,India,57.926536585365895,60.424756097560994,62.5933902439024,64.5600975609756,66.63992682926829,68.3326097560976
IRL,Ireland,74.80909756097559,75.6175609756098,76.5365853658537,78.94390243902441,80.74390243902441,81.5024390243902
IRN,"Iran, Islamic Rep.",63.8828780487805,68.30592682926829,70.1371951219512,71.9307073170732,73.9561951219512,75.7426341463415
IRQ,Iraq,66.131756097561,68.5102682926829,69.1793170731707,68.3816829268293,68.4821707317073,69.6346097560976
ISL,Iceland,78.03634146341459,77.98439024390241,79.65365853658541,81.5024390243902,81.89756097560979,82.8609756097561
ISR,Israel,76.6073170731707,77.4512195121951,78.95365853658541,80.1512195121951,81.60243902439029,82.05121951219509
ITA,Italy,76.9707317073171,78.17073170731709,79.7780487804878,80.78292682926829,82.0365853658537,83.490243902439
JAM,Jamaica,72.0159756097561,71.94239024390241,72.3131707317073,73.4280243902439,74.8464878048781,75.8066829268293
JOR,Jordan,69.9208536585366,70.9257317073171,71.77975609756099,72.6389024390244,73.4383902439024,74.1910243902439
JPN,Japan,78.8368292682927,79.5363414634147,81.07609756097558,81.9251219512195,82.8426829268293,83.84365853658541
KAZ,Kazakhstan,68.33658536585371,64.91951219512201,65.5170731707317,65.909756097561,68.29536585365851,72.0
KEN,Kenya,57.546829268292704,53.923560975609796,51.7409268292683,55.7802195121951,62.8881463414634,66.6456585365854
KGZ,Kyrgyz Republic,68.2975609756098,65.790243902439,68.5585365853659,67.95609756097559,69.3,70.6512195121951
KHM,Cambodia,53.51007317073171,55.1216585365854,58.3508780487805,62.9692195121951,66.4196829268293,68.4720487804878
KOR,"Korea, Rep.",71.299756097561,73.39439024390241,75.8353658536585,78.4326829268293,80.55121951219509,82.1558536585366
KWT,Kuwait,72.3051463414634,72.9025853658537,73.3237073170732,73.6651463414634,74.13285365853659,74.7468292682927
LAO,Lao PDR,53.55207317073171,56.117292682926795,58.879756097561,61.7442195121951,64.3032926829268,66.2840487804878
LBN,Lebanon,70.2211463414634,72.06819512195119,74.4317073170732,76.8289756097561,78.5382682926829,79.498243902439
LBR,Liberia,47.202439024390294,50.162829268292704,52.4076097560976,55.03107317073171,59.605512195122,61.9802195121951
