id,Country Name,1990,1995,2000,2005,2010,2015
AFG,Afghanistan,-0.5175104909628566,-0.15553212802612654,-0.1785298875929418,-0.08640000210603588,-0.10583124418228038,-0.07139897228206345
AGO,Angola,-0.032551856431789795,-0.016523449375618213,-0.02564782855270178,-0.010323107859837356,-0.005122270057881057,0.00013230767960650849
ALB,Albania,-0.0005543820830526432,-0.00033973443621023255,-0.0020326788985657943,-0.0042058956256493885,-0.005044934451210616,-0.003576904665284828
ARE,United Arab Emirates,0.0,0.00016620249752942234,0.00017337971584110558,1.6158750553000484e-05,1.3783624183924812e-05,6.161037728490933e-05
ARG,Argentina,0.0003483376387449958,0.0002852994160791939,4.822241960942161e-05,5.666042533433227e-05,6.595690183427381e-05,6.93955573254404e-05
ARM,Armenia,-2.8263238147457794e-07,0.005441759066956512,0.08952504375179991,0.06895912096198284,-0.004952888304392539,0.0027785872229554843
AUS,Australia,0.005737733737276664,0.003438689685701638,0.00314535581893176,0.0031831643360072173,0.000988028640484755,0.001550988934622729
AUT,Austria,0.0045504926509374365,0.004319929423706619,0.0019293356629652679,0.0025722459715679553,0.005096011145700961,0.008364483540169316
AZE,Azerbaijan,0.0,0.00431515940143136,-0.03528439728648461,-0.027487502755649828,-0.0016414242375914646,-0.000873842058229676
BDI,Burundi,0.014178230107941866,-0.02978250127724353,-0.08451380207120902,-0.0563126398554603,-0.006239242243293833,-0.02347236615953887
BEL,Belgium,0.0025995800902122814,0.0031260324376177085,0.0018351908303865382,0.0014493324834756343,0.0016345151146528512,0.003126520064047139
BEN,Benin,9.119219941122781e-05,0.004028239160465446,0.0006178313827174123,0.0037436930179242005,0.0007279934177307107,1.1157388006299575e-05
BFA,Burkina Faso,3.949593203249471e-05,0.0029449315442664423,4.875971985387246e-05,-7.152473601039493e-06,-3.9345816210053345e-05,0.0017596853647891977
BGD,Bangladesh,-3.1265114022269914e-06,-4.917996701302994e-05,0.0001233154485400324,9.617161064670346e-05,0.0014407183290506703,0.0013634230273399366
BGR,Bulgaria,-0.00022045610096201217,-0.00033737537423863027,-0.00011382869295774924,2.0759966220009684e-05,0.0004017254045277468,0.0021298438518521407
BHS,"Bahamas, The",0.0,2.8556130644297696e-05,0.0003323374399946289,-3.037214995337875e-06,3.0485101099680738e-05,-0.0005351077195104928
BIH,Bosnia and Herzegovina,0.0,-0.20026292292450631,-0.12393560846001785,-0.02627560802109199,-0.015042110817488267,-0.003385501140991091
BLR,Belarus,0.0,0.0028353933686482246,-0.00020652109651579572,-0.0008414809112042066,-0.0005430646357552533,-0.00024405623999959535
BLZ,Belize,0.16345866746289028,0.04223943410174766,0.005005761882619332,0.00217454999876446,0.00034514066814258354,-4.453251987263699e-05
BOL,Bolivia,-7.744765209639563e-05,6.62110395608979e-05,2.1104352388964725e-05,2.9149378400464024e-05,1.0586553544468868e-05,1.9021502223138073e-05
BRA,Brazil,3.562720843413397e-05,1.2304631473144985e-05,1.4250866491761337e-05,1.6520669794819113e-05,1.7088738608149123e-05,3.7929306880079124e-05
BRN,Brunei Darussalam,0.0,-1.009448437373819e-05,0.0,-0.0001341884882708307,-2.5729296921232332e-06,0.0
BTN,Bhutan,0.0,-0.2034466484228272,-0.18999295450423428,-0.16224592203630914,-0.10316900779367848,-0.022504845145836984
BWA,Botswana,0.0008534652430634177,0.00015359181795354516,0.0020528368260874594,0.0016730860003922726,0.0014556799310723393,0.0008247340549529988
CAF,Central African Republic,0.0014232357523352088,0.01002574888144628,0.014786206925937939,-0.004438323509960246,-0.0322198931106378,-0.1020160137260509
CAN,Canada,0.00556874527724803,0.005182292021530285,0.004126299573931498,0.004550909878682842,0.004865686422641382,0.003788375616237282
CHE,Switzerland,0.006096773756428952,0.011776691677956995,0.008015172077809097,0.006455998058386888,0.006235727469801885,0.008852390057176692
CHL,Chile,-0.001094234674597716,-0.000978553451786098,-3.249741167288682e-05,-8.17486076725775e-06,2.6539787260360727e-05,7.251157637746238e-05
CHN,China,0.00025180917647784284,0.00015239676143602343,0.00014504076759500888,0.00013571932623569478,8.700273976698899e-05,6.427852569244905e-05
CIV,Cote d'Ivoire,0.02219469024240297,0.020473879739932137,0.0071865017603087895,0.0012701033572580034,-0.0007617150077119968,-0.002991759905198405
CMR,Cameroon,0.004248832586811445,0.003251171495953419,0.0027247192887054107,0.0024649276913022624,0.00447219760952345,0.014556337110976092
COD,"Congo, Dem. Rep.",0.010082802966761319,0.032311526871595324,-0.0008327741888943176,-0.004138482038365504,-0.004810001626855108,-0.0020788455193792785
COG,"Congo, Rep.",0.0012243608471691981,0.00686861325602705,0.029640140036649103,0.01119803089792679,0.025630469239584352,0.006040057265844191
COL,Colombia,-9.920760840656095e-07,-4.4976257530418334e-05,-0.00022374045631866067,-0.001392956379014802,-0.008610221804270329,-0.007047691958171709
CRI,Costa Rica,0.0892152603605626,0.0068400758090600595,0.0013914353106133498,0.00260720681400269,0.004213821810757533,0.0006732736365428886
CUB,Cuba,-0.0009010515039527669,-0.0021112148558372636,-0.0017155818234778405,-0.001621197256034582,-0.0006234861203748222,-0.0005697368356763797
CYP,Cyprus,2.869762357588043e-05,5.37770171057677e-05,6.890805121670416e-05,0.0006772681183817963,0.003038808851643033,0.006083627264779476
CZE,Czech Republic,-0.0005925471446592128,5.9648001264227765e-05,3.6664816198593805e-05,-0.000175003643052894,0.00015580829851036956,0.00022368545444321903
DEU,Germany,0.010272804779986421,0.015518416324601086,0.011005965247590397,0.008487242701907139,0.007264946238505163,0.0038678798903776287
