id,1990,1995,2000,2005,2010,2015
AFG,7.0521155944502745,6.0214983402539435,6.219588387952642,5.836791251583932,6.095221334676896,3.733131717690661
AGO,5.2603418425520125,4.715420644083096,4.8713145883338544,4.0810156414440595,3.6164788740082514,2.977259102873454
ALB,1.6120516654904886,2.9765767160461767,3.592299858844612,4.066414557669697,4.563880884360557,4.453813334071324
ARE,-4.026279787681059,-4.200716909524303,-4.442924019594098,-4.968495869934753,-5.933329905702912,-5.91204513702705
ARG,-1.8633494585570247,-1.6628801014751637,-1.40405631557217,-1.0072422410365611,-0.9230194780609295,-1.1200430696084283
ARM,0.6720115777296094,0.4600504150774114,0.4798195585160592,1.017769501037865,2.2244161064600902,2.4650995081945943
AUS,-3.698089136942656,-3.5847427535188814,-3.497759970264447,-3.4903250874561174,-3.5815504038721215,-3.671228616663175
AUT,-0.6537232320633066,-0.8788584285597949,-1.080214405184691,-1.1642001274934763,-1.2167776501268044,-1.38265002935821
AZE,2.194202774651057,2.328714205333931,2.324460185851347,2.27137140065334,2.102900179027362,2.131307856618907
BDI,0.3021069000073844,1.3449633013897504,2.721915933563846,1.974559252622278,0.3808783932039752,0.10662793465320064
BEL,-1.2633854535942675,-1.2136810001783225,-1.0698846906488733,-0.9583222915029417,-1.0842199721887091,-1.3705175925297226
BEN,1.8709537623557377,1.622274712626325,1.4987604482663315,1.4623182529886307,1.5355801633759363,1.5653552523868264
BFA,1.6401385537079882,1.5779684557748475,1.3445799282398454,1.2351891744145362,1.1419878191259833,1.1425008284250495
BGD,3.102761210854343,2.9796421784864613,2.8743332002564657,2.660393970113965,2.638326262632699,2.650279555588945
BGR,5.0195182517382815,4.429006638950863,4.05522252737614,3.945183873107174,3.927621151231328,3.5456066939308037
BHS,0.08277178915591854,-0.057085111031906166,-0.10258525895521942,-0.39045992458487966,-0.5972215579192621,-0.5017104789175484
BIH,3.9875908218516347,4.330629840132929,4.162705530906393,5.0153425953852615,5.40475779856115,5.6031458236149785
BLR,0.5024336044757938,0.5613535352038319,0.5954530627764747,0.5259401446313277,0.43972964524032676,0.4562523445257547
BLZ,0.2984815667895191,0.33013132735740847,0.4070392547615338,0.3252500749581735,0.2864095836839322,0.19067987359222371
BOL,1.6317045697071393,1.7773735003217475,1.9144828067391444,2.3646234752301574,2.7044360930088054,2.52284358852933
BRA,-0.6404297695150021,0.05278810469458506,0.5405074433060442,0.9496420153416132,1.3703226133806936,1.115304590240644
BRN,-1.421688095930925,-1.2149487739570795,-1.060145310965746,-1.0985194244194911,-1.1032857290748979,-1.10783648826847
BTN,0.3683652126918595,2.190771901617241,2.0170798076514345,1.664591909588541,0.9478039587774916,-0.0941802544609196
BWA,0.030518663959769654,-0.5753139926358521,-0.8509577630870879,-1.2984839788441906,-1.2337522289815563,-1.2519951468384747
CAF,-0.30735288647668746,-0.6269710436933789,-0.6663919020165565,0.9664782822796809,1.8136198211577508,2.9106944261337535
CAN,-2.0316615196470806,-2.1536514482396107,-2.235395414495361,-2.338133844191855,-2.478903879030728,-2.5728293848918398
CHE,-1.8606989801587908,-1.983457421682843,-2.0162219010066984,-1.7688992265959378,-1.6387397924770504,-1.8111845733540548
CHL,2.193336948185056,1.7991358696768813,1.5216031223513404,0.979170557760682,0.6126074714870136,0.3858572716676889
CHN,2.9810107838739413,3.054530055403937,3.1797900296266306,3.469360193306681,3.6583927863060595,3.6446449965752556
CIV,-2.274794937522689,-2.1717655591910336,-1.8475793494786323,-1.4880405065037436,-1.3673368649914082,-1.3014440440782131
CMR,-0.8817629581509578,-0.5404794786664624,-0.18274487729664912,-0.19538019454795474,-0.005529925939889324,-0.2072745694703464
COD,-0.45131500836143346,-1.5773379121486784,0.7371287611889983,1.3079517973155284,1.449103312415616,1.6758572613181748
COG,-0.4119885692086882,-0.7385290023497966,-1.211141221703162,-0.9100619949392588,-1.0699374511598627,-0.7916653268770126
COL,3.2904181308991483,3.5018545933368976,3.7041807903372614,4.1224103149386835,4.332363883599289,4.315196347923067
CRI,-1.5757830592533857,-1.2775575552886238,-1.5213527881391293,-0.7554807649486115,-1.5923578101533842,-1.6016274090714937
CUB,4.826791171315422,5.345556293619925,6.077969038264971,6.225856080317104,6.510092275922421,6.841692612371585
CYP,2.0067267138934604,1.4080840573523368,0.9503462192649295,0.40443085587611094,-0.20676336507364823,-0.13323011880659763
CZE,1.3303359262060006,0.9991630384231769,0.8545717394156682,0.9741100604011947,1.1430354395356943,1.2033213434891863
DEU,-0.774757886767869,-1.129872871104702,-1.3780180078148483,-1.5064418892430531,-1.5988533725343856,-1.5694874422205807
DJI,-4.443549401811895,-3.7572656539108564,-3.3859418444965854,-2.8263251143048507,-2.8057393872939276,-2.729473180626764
DNK,-0.1950840192386849,-0.5146399106846751,-0.7398060011228971,-0.9372578612917728,-1.0827067764981884,-1.1769624115286277
DOM,0.6383258661198603,0.996508351943497,1.2877584564139184,1.4048073993837846,1.5456136489036112,1.6551832458172484
DZA,3.3186945596355812,3.5317666411633297,3.7539484633316746,3.893647069376108,3.564563322923423,3.6909729800032913
ECU,1.4471466675321594,1.6682244213050126,1.84589127193966,2.682030404881676,2.0374903732906446,1.8017758713664662
EGY,2.9913825327891708,3.223076645753995,3.3666413043609715,2.8284754617393837,3.1682981218644457,2.7502938210831864
ERI,4.116566087675167,5.039113119911034,5.6825011308371565,4.729398998799105,4.542577730782307,
ESP,0.8026173463710826,0.40927190566967653,-0.36970392855276657,-1.8957711335602525,-2.535732308407866,-2.2495996064990145
