id,name,1990,1995,2000,2005,2010,2015
BDI,Burundi,0.06151144464459326,0.04274581025545206,0.01962720987341084,0.023288060049932044,0.0268348213114511,0.028120640006588708
DJI,Djibouti,0.20701459015782575,0.15827395191532834,0.1400630448839439,0.11757488630763456,0.11933910280962373,0.12114438643367471
ERI,Eritrea,0.003805594751054424,0.004012738503099678,0.003817494748439416,0.003606443626831598,0.0035701596960945967,0.0
ETH,Ethiopia,0.024027317762010458,0.014079666542662453,0.009188586178787364,0.006702222734050765,0.006473235079388119,0.010743130230159326
KEN,Kenya,0.012703425321056415,0.022626149435963475,0.02222983348141267,0.020996669800241275,0.022417305745333172,0.022956030451099018
MDG,Madagascar,0.0020620533471487545,0.001571530344182733,0.0014930734861581985,0.0014210826317721749,0.0013665607016760876,0.0013235488787529369
MWI,Malawi,0.11949326271333258,0.024384080553124566,0.020448003071683516,0.016998919684646386,0.014354891295927137,0.01224324636370894
MOZ,Mozambique,0.009234242241774372,0.010676730165087772,0.010831602296409053,0.009789672356876883,0.008860427378180581,0.007958675492868062
RWA,Rwanda,0.02209417675838933,0.03933821383591781,0.04324555742967314,0.048132757471166576,0.042626498974025366,0.03796577564073185
SOM,Somalia,0.0646575049135859,0.002534363224205291,0.0022290458647243145,0.0019856050836101124,0.0019907538423540325,0.001818432946660187
SSD,South Sudan,0.0,0.0,0.0,0.0,0.025618365081345424,0.06935806827997928
UGA,Uganda,0.032015022501123494,0.030881314527370925,0.026402752429212296,0.022875888892703672,0.015602474564967798,0.01866915996987909
TZA,United Republic of Tanzania,0.022546501508821582,0.03691636691920129,0.02715720227624508,0.019559384423635858,0.006694347773015448,0.00484822213202583
ZMB,Zambia,0.034760209999610076,0.026741374730671525,0.030496653711853543,0.020971268543155265,0.010804089780869114,0.007944741393590185
ZWE,Zimbabwe,0.06155494886485105,0.038093005284467456,0.03354873009889913,0.030347142881872315,0.028246631110175925,0.025280763033268174
AGO,Angola,0.002753741319536446,0.0027901756774163615,0.0028044652478169717,0.0031366254065583903,0.0032756459793049216,0.0038351638707426476
CMR,Cameroon,0.022649514503272582,0.018339210313889152,0.014952173706386847,0.014852192451607404,0.014475905579706462,0.016728355426051836
CAF,Central African Republic,0.022870418874881795,0.029740211592395177,0.032897326381509814,0.022880586059289082,0.021010559679893896,0.017949011240403864
TCD,Chad,0.012480067095763053,0.012796394429031748,0.012565089440781899,0.03497185708287338,0.03507335031406045,0.036901474744159515
COG,Congo,0.05310357855106646,0.06845928648872647,0.0945529488391299,0.08478144112689784,0.09566409137817486,0.07866767234200649
COD,Democratic Republic of the Congo,0.021788332494910165,0.04368146414210069,0.015812322215806408,0.011376296047251768,0.0091277156891461,0.007161656345933145
GNQ,Equatorial Guinea,0.006419176939692535,0.00718797474998564,0.007352809515515453,0.008699131275278384,0.009103105443779019,0.009209716953280999
GAB,Gabon,0.13440284306435962,0.1408404280491319,0.15885590542610725,0.15260425649585282,0.14875656165978746,0.13904645951791936
DZA,Algeria,0.010572326333599705,0.009065502991977179,0.008020546658089526,0.0074361256432676605,0.00678239276838626,0.006079300497337348
EGY,Egypt,0.0030256279086253684,0.002620365830724634,0.0024812180610336272,0.0035687367248199743,0.003515900809256181,0.005242616586725534
LBY,Libya,0.10302229537032466,0.10265947407835195,0.10594891360707397,0.10793124021179805,0.11087412508064333,0.12368108510807214
MAR,Morocco,0.0022064672985428434,0.001860002529248872,0.001838291047220343,0.0017816872082138666,0.0021878984829173816,0.0025431767691601395
SDN,Sudan,0.0696309583429085,0.04370396265425371,0.02942632135479175,0.017533498572750945,0.01681974124150602,0.013027312315786747
TUN,Tunisia,0.0046137418425354106,0.004154828162245343,0.0037576306574657677,0.003468454583734967,0.00405754511001998,0.00502951082172863
BWA,Botswana,0.01996499050737638,0.025599486072854782,0.03301665181619357,0.04786426934906447,0.06000994607085533,0.07271601400870996
LSO,Lesotho,0.005137355683324418,0.004090023669223594,0.003300156954116206,0.0032263971607704987,0.003143268656358013,0.003022102458102357
NAM,Namibia,0.08527721935233959,0.06969605988791555,0.070766094320042,0.05229515263291533,0.047122406438520684,0.03870774637290095
ZAF,South Africa,0.03163285135495437,0.024230854367014984,0.02231392327338021,0.02543626751869897,0.038115351818622925,0.05712412440955889
SWZ,Swaziland,0.0836861615119118,0.026052465049667357,0.02153150165619689,0.024502813614221526,0.025336639943866323,0.023941422778126945
BEN,Benin,0.015308237668564964,0.01777495030952198,0.019477272704101732,0.02148511223374435,0.022748245266276338,0.023203490333541604
BFA,Burkina Faso,0.03968399168587932,0.04309744875012364,0.04480027553549113,0.04447735906833071,0.043184532454755356,0.03890953729700313
CIV,Côte d'Ivoire,0.14806508183975647,0.14279758638096063,0.11950545112321227,0.10966354559040609,0.1026984464886139,0.09413859124913149
GMB,Gambia,0.1288415895149257,0.1415182377420108,0.14816324144940432,0.12595519746517805,0.1097793397626332,0.09736092921181842
GHA,Ghana,0.011269351242047927,0.015087825416797753,0.010116870363543298,0.014132200947460379,0.01374900334952887,0.014482601326383548
GIN,Guinea,0.06681256739259478,0.09839765940857861,0.06358313846575814,0.023720769503742092,0.01900201682945516,0.01889032598265249
GNB,Guinea-Bissau,0.015181570316513219,0.024589270104702927,0.016449101492967105,0.01501696795713907,0.013536390981309612,0.012613765626712061
LBR,Liberia,0.04528063657239638,0.10058587438907114,0.05264927776595221,0.026734698258019215,0.02510786765869875,0.02528635189497071
MLI,Mali,0.01898788308068291,0.01834430914836352,0.01727574357043279,0.020064204642276758,0.022328696654115052,0.020789270379017975
