id,Country Name,1990,1995,2000,2005,2010,2015
HUN,Hungary,39356.0,9046.0,4546.0,4527.0,3976.0,2950.0
IDN,Indonesia,-3891.0,-9817.0,113469.0,-34295.0,-16081.0,-7999.0
IND,India,212545.0,222469.0,159542.0,122998.0,167052.0,191500.0
IRL,Ireland,360.0,398.0,2540.0,7092.0,9099.0,6116.0
IRN,"Iran, Islamic Rep.",4098512.0,1959624.0,1779722.0,874874.0,1004575.0,894487.0
IRQ,Iraq,-1132905.0,-601997.0,-398392.0,-212122.0,-1648924.0,13607.0
ISL,Iceland,85.0,197.0,239.0,286.0,79.0,179.0
ISR,Israel,-16.0,-937.0,3659.0,-23.0,24170.0,32144.0
ITA,Italy,10840.0,74181.0,6801.0,20458.0,56347.0,117977.0
JAM,Jamaica,0.0,13.0,1.0,-489.0,-1036.0,-1856.0
JOR,Jordan,929682.0,1288382.0,1609719.0,1827053.0,2448127.0,2806510.0
JPN,Japan,6819.0,5432.0,3747.0,1928.0,2434.0,2329.0
KAZ,Kazakhstan,0.0,15422.0,18037.0,2949.0,774.0,-1559.0
KEN,Kenya,14239.0,225338.0,203733.0,246631.0,394303.0,546006.0
KGZ,Kyrgyz Republic,0.0,13385.0,9861.0,-524.0,-286.0,-2148.0
KHM,Cambodia,-54364.0,-61210.0,-36821.0,-17679.0,-16185.0,-12727.0
KOR,"Korea, Rep.",230.0,-25.0,-67.0,-199.0,-227.0,1110.0
KWT,Kuwait,-44.0,2544.0,2084.0,1142.0,-804.0,-344.0
LAO,Lao PDR,-135633.0,-58193.0,-16094.0,-24442.0,-8414.0,-7363.0
LBN,Lebanon,297606.0,334516.0,372529.0,386925.0,447567.0,1524854.0
LBR,Liberia,-735689.0,-624557.0,-197615.0,-220971.0,-45386.0,26514.0
LBY,Libya,-581.0,3349.0,10924.0,10591.0,5614.0,3215.0
LKA,Sri Lanka,-208271.0,-107573.0,-124144.0,-108033.0,-140851.0,-120659.0
LSO,Lesotho,210.0,0.0,-4.0,-6.0,-11.0,14.0
LTU,Lithuania,-4.0,-109.0,-108.0,-917.0,288.0,949.0
LUX,Luxembourg,687.0,700.0,759.0,1821.0,3254.0,1330.0
LVA,Latvia,0.0,-160.0,-484.0,-2419.0,-645.0,15.0
MAR,Morocco,296.0,-246.0,1713.0,-2701.0,-1492.0,2122.0
MDA,Moldova,0.0,-529.0,-2589.0,-11980.0,-6052.0,-1843.0
MDG,Madagascar,0.0,-79.0,-4.0,-203.0,-270.0,-276.0
MEX,Mexico,356400.0,38356.0,17160.0,916.0,-5421.0,-8410.0
MKD,"Macedonia, FYR",0.0,-3835.0,6874.0,-7326.0,-6491.0,-1076.0
